method,dataset,samples,psnr,ssim,weighted_psnr,weighted_ssim,mask_iou,mask_dice,mask_bce,source_psnr,source_ssim,result_dir,note
Lightweight CNN baseline,COCO synthetic5k-val,100,35.538233,0.995112,25.249158,0.943050,0.700077,0.812461,0.293885,,,results/task011_validation_ConditionalLocalDeblurNet-task010_synthetic5k-val_100_0427,"Non-diffusion, non-ReLoBlur baseline for trainable local deblurring."
SD1.5 + Tile ControlNet with GT mask, COCO 3-epoch pretrain,COCO20k val,5,25.432826,0.978364,16.000063,0.762624,1.000000,1.000000,0.021355,,,results/coco_gtmask_pretrain_eval_SD15-TileControlNet-GTMask_coco20k-val_5_0430,"Validates the GT-mask conditioning route only; sample count is small."
Separate Stage 1 mask prediction, then SD + ControlNet,COCO20k val,5,25.768515,0.978617,16.401181,0.767287,0.754955,0.847868,0.395623,,,results/coco_predmask_inference_eval_SD15-TileControlNet-PredMask_coco20k-val_5_0430,"Mask comes from the separate Ib-to-M predictor, not GT mask."
COCO pretrain + ReLoBlur lr=2e-6 fine-tune with pred-mask inference,ReLoBlur test,5,28.816434,0.919351,19.543748,0.873032,0.547508,0.700964,0.908832,,,results/reloblur_predmask_infra_eval_SD15-TileControlNet-ReLoBlur-PredMask_reloblur-test_5_0430,"Five-sample infrastructure check, not a full benchmark."
COCO 5-epoch pretrain + ReLoBlur 10-epoch lr=5e-7 fine-tune,ReLoBlur test,5,29.613963,0.933348,20.365544,0.894574,0.547508,0.700964,0.908832,,,results/reloblur_predmask_fullflow_infra_eval_SD15-TileControlNet-ReLoBlur-PredMask-FullFlow_reloblur-test_5_0430,"Full-flow small-sample check after learning-rate and training-length adjustment."
ModelScope NAFNet directly inside predicted mask with soft boundary blending,ReLoBlur test,5,38.452357,0.981713,30.269075,0.989858,,,,28.816434,0.919351,results/reloblur_predmask_modelscope_nafnet_mask_direct_NAFNet-GoPro-width64-DirectMaskSoftBoundary_reloblur-test_5_0501,"Not SD reconstruction; closer to local deblurring post-processing."
Stage3: NAFNet preprocessing + ControlNet full-weighted loss,ReLoBlur test,5,28.916027,0.939504,19.641082,0.877390,0.547508,0.700964,0.908832,,,results/reloblur_stage3_nafnet_fullweighted_infra_SD15-TileControlNet-Stage3-NAFNet-FullWeighted_reloblur-test_5_0501,"Uses low-noise refinement with timestep_max=200 and strength=0.3."
Stage3: NAFNet preprocessing + ControlNet mask-only loss,ReLoBlur test,5,29.044416,0.939386,19.794605,0.879294,0.547508,0.700964,0.908832,,,results/reloblur_stage3_nafnet_maskonly_infra_SD15-TileControlNet-Stage3-NAFNet-MaskOnly_reloblur-test_5_0501,"Computes diffusion loss only inside the mask region to reduce background interference."
Stage3 urgent full-weighted, batch=12 continued fine-tune,ReLoBlur test,5,33.173470,0.948971,24.487372,0.961754,0.523294,0.680851,0.945354,,,results/reloblur_stage3_urgent_fullweighted_b12_infra_SD15-TileControlNet-Stage3-Urgent-FullWeighted-B12_reloblur-test_5_0501,"Numerically better, but still only five samples."
Stage3 urgent full-weighted step210 checkpoint, seed123 split,ReLoBlur test,5,34.768054,0.958458,23.303886,0.944002,0.335252,0.476060,0.638378,,,results/reloblur_stage3_urgent_fullweighted_b12_step210_seed123_infra_SD15-TileControlNet-Stage3-Urgent-FullWeighted-B12-Step210_reloblur-test_5_0501,"Checkpoint, split, and seed all differ, so this is exploratory only."
